ImeIgraca,ImeKluba,Osnovan,Grad,Dvorana,Kapacitet,Trener,Kapetan,Navijaci
Marko Ramljak,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Luka Božić,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Karlo Žganec,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Dario Drežnjak,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Arijan Lakić,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Adem Mekić,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Lovro Mazalin,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Patrik Jambrović,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Petar Vujačić,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Krševan Klarica,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Vice Grbić,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Ivan Njegovan,Košarkaški klub Zadar,1945,Zadar,Dvorana Krešimira Ćosića,9000,Danijel Jusup,Marko Ramljak,Tornado Zadar
Tonko Vuko,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Mate Kalajžić,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Toni Perković,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Edward Shelton,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Krešimir Ljubičić,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Boris Tišma,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Lovre Runjić,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
James Funderburk,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Lovro Gnjidić,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Ante Perkušić,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
David Pavin,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Antonio Klepo,Košarkaški klub Split,1945,Split,Arena Gripe,3500,Slaven Rimac,Tonko Vuko,
Krešimir Radovčić,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Ivan Perasović,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Ivan Majcunić,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Aleksandar Aranitović,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Domagoj Vuković,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Josip Pavković,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Juraj Golemac,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Filip Ferderber,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Josip Krizmanić,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Niko Bandov,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Jere Jakić,Košarkaški klub Cibona,1946,Zagreb,Košarkaški centar Dražen Petrović,5400,Jakša Vulić,Krešimir Radovčić,
Josip Batinić,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Kevaughn Allen,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Vito Kučić,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Sandro Rašić,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Jan Kosi,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Ivan Karačić,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Renato Serdarušić,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Toni Bilić,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Marko Ljubičić,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Luka Mršić,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Martin Jelić,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Petar Ogrizović,Košarkaški klub Cedevita Junior,1991,Zagreb,Dom sportova,3100,Damir Mulaomerović,Josip Batinić,
Hrvoje Garafolić,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Ivan Vučić,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Karlo Mikšić,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Ivan Novačić,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Ivan Vrgoč,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Ivan Nakić-Vojnović,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Mislav Brzoja,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Filip Kraljević,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Ivan Tvrtko Majić,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Stipe Dugandžić,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Toma Rukavina,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Roko Lukić,Košarkaški klub Dinamo Zagreb,1972,Zagreb,Košarkaški centar Dražen Petrović,5400,Josip Sesar,Hrvoje Garafolić,Bad Blue Boys
Marat Kos,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Borna Katanović,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Dino Butorac,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Toni Jelenković,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Nikola Ivanković,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Tin Tikveša,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Matej Akrap,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Bruno Bubalo,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Ante Krapić,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Luka Petranović,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Tomislav Raos,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Ante Ćosić,Košarkaši klub Bosco Zagreb,1992,Zagreb,Školska sportska dvorana Boško Božić Pepsi,1500,Ante Samac,Marat Kos,
Ivan Vodopija,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Filip Vujičić,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Petar Dubelj,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Javon Markese Levi,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Tomislav Cvitković,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Vladan Lazić,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Gvido Guštin,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Dragan Džajić,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Josip Popić,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Lovre Klarić,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
Petar Miović,Košarkaški klub Dubrovnik,1946,Dubrovnik,Športska dvorana Gospino polje,1400,Željko Vreća,Ivan Vodopija,
